RawName,Phone,ServiceArea
Ashley Adams,716-408-6573,Central
Ashley Davis,716-347-6121,East
Barbara Smith,716-951-6658,West
Betty King,716-333-7070,Central
Betty Torres,716-775-2739,East
Charles Allen,716-447-8642,North
Daniel Miller,716-473-8366,South
Daniel Moore,716-344-2586,North
David Miller,716-497-7293,Central
Edward Young,716-628-5067,South
James Allen,716-535-6123,South
James Walker,716-981-3610,West
Jennifer Torres,716-727-8648,West
Jennifer White,716-515-9148,North
Joseph Johnson,716-292-7442,Central
Karen Brown,716-668-4944,South
Karen Davis,716-797-6781,North
Karen Harris,716-251-5609,West
Kimberly Wilson,716-811-8710,East
Linda Carter,716-749-1133,North
Linda Garcia,716-641-3194,East
Maria Torres,716-944-6992,West
Maria Wright,716-574-1741,West
Mark Carter,716-252-4189,East
Mark White,716-766-5728,North
Michael Scott,716-595-9261,West
Michael Wilson,716-982-5582,Central
Nancy Garcia,716-896-2946,South
Patricia Adams,716-299-7453,East
Patricia Allen,716-547-6990,South
Patricia Miller,716-403-9341,West
Paul Davis,716-712-1659,North
Robert Garcia,716-239-3245,East
Robert Hill,716-685-9508,West
Robert Torres,716-352-9446,South
Robert Young,716-535-6218,South
Sandra Johnson,716-602-5902,Central
Steven King,716-544-9311,Central
Thomas King,716-745-9025,Central
William Green,716-506-8780,North
William Wilson,716-577-6427,North
M. Wilson,716-797-6040,North
