JobID,RawCustomerName,ServiceTypeRaw,TechnicianRawName,LocationArea,OpenDate,CloseDate,StatusRaw
JOB-1001,Daniel Moore,Water Heater Service,R. Chen,North,2026-05-08,,OPEN
JOB-1002,Jennifer White,HVAC Repair,TYLER BROOKS,West,"May 29, 2026",2026-06-04,completed
JOB-1003,Kimberly Wilson,Plumbing Installation,T. Brooks,East,05/25/2026,2026-05-27,Closed
JOB-1004,Linda Carter,Water Heater Service,dana ortiz,East,2026-05-25,06/03/2026,Completed
JOB-1005,Betty King,Plumbing Installation,tyler brooks,South,"May 5, 2026","May 14, 2026",completed
JOB-1006,Sandra Johnson,Plumbing Repair,RAY CHEN,North,"May 17, 2026",05/28/2026,COMPLETE
JOB-1007,Mark Carter,Plumbing Installation,DANA ORTIZ,South,2026-05-07,2026-05-10,COMPLETE
JOB-1008,Michael Wilson,HVAC Maintenance,marcus webb,West,2026-05-09,,In Progress
JOB-1009,Daniel Miller,Plumbing Installation,Dana Ortiz,West,"May 4, 2026",,open
JOB-1010,Michael Scott,HVAC Installation,D. Ortiz,East,2026-05-13,05/24/2026,Closed
JOB-1011,Michael Wilson,Emergency Service,Tyler Brooks,East,"May 20, 2026","May 25, 2026",CANCELLED
JOB-1012,Michael Scott,HVAC Repair,Tyler Brooks,West,"May 9, 2026",,Open
JOB-1013,William Wilson,HVAC Repair,Ray Chen,North,2026-05-29,"Jun 5, 2026",completed
JOB-1014,Robert Torres,Water Heater Service,priya patel,East,"May 9, 2026",,OPEN
JOB-1015,Karen Harris,Plumbing Repair,priya patel,North,2026-05-17,,open
JOB-1016,Robert Hill,HVAC Repair,PRIYA PATEL,East,2026-05-13,,open
JOB-1017,Nancy Garcia,HVAC Installation,Marcus Webb,South,05/22/2026,05/26/2026,completed
JOB-1018,Barbara Smith,Emergency Service,T. Brooks,Central,05/20/2026,"May 28, 2026",COMPLETE
JOB-1019,Joseph Johnson,HVAC Installation,Tyler Brooks,West,"May 14, 2026",2026-05-21,COMPLETE
JOB-1020,Linda Garcia,Plumbing Repair,Marcus Webb,West,2026-05-05,,open
JOB-1021,James Allen,Plumbing Repair,TYLER BROOKS,South,2026-05-08,"May 19, 2026",Completed
JOB-1022,Robert Young,Plumbing Installation,Tyler Brooks,South,"May 4, 2026",,OPEN
JOB-1023,Patricia Adams,HVAC Installation,P. Patel,South,2026-05-14,2026-05-23,Closed
JOB-1024,Karen Davis,HVAC Repair,TYLER BROOKS,North,"May 17, 2026",,Open
JOB-1025,Steven King,HVAC Installation,RAY CHEN,West,2026-05-09,05/13/2026,Completed
JOB-1026,Barbara Smith,HVAC Repair,Marcus Webb,North,05/18/2026,"May 21, 2026",COMPLETE
JOB-1027,James Walker,HVAC Maintenance,T. Brooks,Central,2026-05-26,2026-06-04,COMPLETE
